tpl_uuid,repo_url
fcb67cbe277e4bdfbccc8f368c105e4e,https://github.com/boostorg/histogram.git
70edf1bccee34af1af7c5905934fdaee,https://github.com/boostorg/hof.git
80238ed129384cbfaba6e2741c328616,https://github.com/boostorg/python.git
522a7aff0b36418f8af4e54be1fc7dc0,https://github.com/boostorg/spirit.git
e0cca6987fd54327851a7037733a0fd9,https://github.com/boostorg/stacktrace.git
0757bfc3057a4acc9bab8dc27739a3ff,https://github.com/bro/binpac.git
14d3b5fe4fc641c9877fad0ae8e654c5,https://github.com/bulletphysics/bullet3.git
d0a793ce42414f96a450cec9ced17700,https://github.com/BVLC/caffe.git
c064cb145c5c4a5e982bfee2374a559d,https://github.com/bwalex/tc-play.git
751387e038674d7bb51e0928f79840db,https://github.com/byhook/ffmpeg4android.git
8da97bd0057544149af199cb503dc9b4,https://github.com/bytefish/libfacerec.git
4c6da5ba712a4ee796f2a6792c806484,https://github.com/BYVoid/OpenCC.git
eeaf84769fbb4dff8f93efd85a1fe8d2,https://github.com/BYVoid/uchardet.git
80b21dd2bbb94f97ac24d46569b9adf2,https://github.com/c-ares/c-ares.git
fe3f2f653872462099195fa98c0d6071,https://github.com/calf-studio-gear/calf.git
12945ad4d23241109e15fa2af327658b,https://github.com/cameron314/concurrentqueue.git
56a57f1df17040bdbc56618218de7f56,https://github.com/cameron314/readerwriterqueue.git
4a7c54be708343d3aca34140237d7eb8,https://github.com/capnproto/capnproto.git
dc143ab5bedd496e8554538300fda899,https://github.com/catchorg/Catch2.git
7cf172d5c4b942429a721170fae3528d,https://github.com/ccache/ccache.git
b578a210ab4043648276d965da270dcd,https://github.com/ccMSC/ckb.git
708fb0e97e1846eda53cd8f17f044f27,https://github.com/ccxvii/mujs.git
4de4dc33ee634cebbeee5f3d914c879b,https://github.com/ceph/ceph.git
d9688e991c3041e98fb0ff2b50f2ff68,https://github.com/ceres-solver/ceres-solver.git
8f2b9d584f794a4d9ae2c38da3949ae3,https://github.com/cesanta/mongoose-os.git
3608969c449945c68db06d709ea8e2a9,https://github.com/cesanta/mongoose.git
fe4e0248f26744aeae8b1718ae2fe52e,https://github.com/CGAL/cgal.git
0b3b063cc4084534bf41986c25b6173c,https://github.com/ChaiScript/ChaiScript.git
834b6e8005e2433995ec532ac94e08e6,https://github.com/chenall/grub4dos.git
d535ca6970a54139840efa0e267d53d1,https://github.com/ChibiOS/ChibiOS.git
bbe5e3164a2744b0ace8bbd267503616,https://github.com/chocolate-doom/chocolate-doom.git
42971f98346043efb0410a3250a4997a,https://github.com/chriskohlhoff/asio.git
9c3353b8c389441999899adaa60de0ff,https://github.com/Chuyu-Team/VC-LTL.git
6b4002040e9b41e19447180fa20a874f,https://github.com/cisco/libsrtp.git
e0812359119440b2b5631ceaa64ea578,https://github.com/cisco/openh264.git
2e8702345db94924b7e8d1d954ee928a,https://github.com/citra-emu/ext-soundtouch.git
969c3b304ef24487994cc9ad3f68411e,https://github.com/civetweb/civetweb.git
32da101acbb2446bb2bef029878fc0c4,https://github.com/cjdelisle/cjdns.git
bb18d5d629cd4647abec8dd48de2e005,https://github.com/cjlin1/liblinear.git
94bc76689fdc47a2af6aa9a7adf32011,https://github.com/ClickHouse-Extras/boost.git
62cb454bbe5c4e92b4ddddb845fd40ce,https://github.com/client9/libinjection.git
c636d69044ef4f2e89e58d91e2c28ab0,https://github.com/CLIUtils/CLI11.git
7fc7942f492c4b8e89ef9c413705e929,https://github.com/clMathLibraries/clBLAS.git
5b4243ad10a5424f9e90646879cffe7e,https://github.com/clMathLibraries/clFFT.git
aa092a42b459473d8fa3e9a6b6603d53,https://github.com/CloverHackyColor/CloverBootloader.git
32df026060e6408d9e0043533ffe93ee,https://github.com/ClusterLabs/pacemaker.git
03fbf8244a5d40dd88c4c4dad7e880aa,https://github.com/cocos2d/cocos2d-x.git
386a0e5c0ba64524b82fedc37efe2c3f,https://github.com/codership/galera.git
ce07806e27084d57b73aaf17eb309ae8,https://github.com/coin-or/CppAD.git
a043b484d1994e248d44abedc6af8bb9,https://github.com/commonmark/cmark.git
667c3f6344fe4a42a0b08ec1a29e72b8,https://github.com/concurrencykit/ck.git
b10b7b9e3c32496dafb0b596bef969ec,https://github.com/conor42/fast-lzma2.git
7bbc1ff8d09c462993dc7215c46b424c,https://github.com/containers/podman.git
ebc8e60fb6654e589d38f5d72b528402,https://github.com/corecode/dma.git
3e634e81e6d24107a7c93776bacc0866,https://github.com/coreos/grub.git
dc8a4dfdc9ab42c380ccf288dd5c82a1,https://github.com/coreutils/coreutils.git
043ca0dd92d140cfb6bf29f5a5f67861,https://github.com/coreutils/gnulib.git
62cb47cac6294be08f0b4aff385f4485,https://github.com/cos120/captcha_crack.git
ec9074191d244845a1733b73a3197452,https://github.com/crankyoldgit/IRremoteESP8266.git
f79530bfcc0d48149b8b0fc61cf00cc0,https://github.com/crosire/d3d8to9.git
33443e0283f44680a7758b854fbb9844,https://github.com/crosire/reshade.git
a3be1ba9b5e144e08fc978a3f82f0f32,https://github.com/cryos/avogadro.git
91434ab73e3f426c82f65934a1f38fac,https://github.com/cryptonomex/graphene.git
70c7eefb9a1c46c6b88a609ae2d76a89,https://github.com/CTCaer/hekate.git
3b45ee5642104f36a5da0e9c29020bc2,https://github.com/cucumber/cucumber-cpp.git
873d30b77bfb4838a3d57e168474bfdb,https://github.com/curl/curl.git
e0b52993e19547fa8bfdb11a647c9e1d,https://github.com/Cyan4973/xxHash.git
c91c7a02fdfc4256884e4c5b459d2deb,https://github.com/dajobe/rasqal.git
f829805bd0ca490f8e039daecaa1c497,https://github.com/DanBloomberg/leptonica.git
7d42af051fae477eb922e49e3af46770,https://github.com/danfis/libccd.git
c189a14d4b9c45348ce78c97c0f0a5b2,https://github.com/danielaparker/jsoncons.git
c3fa620e92dd46e683457d4525ddd675,https://github.com/DanielChappuis/reactphysics3d.git
d2e92b65dd26435f801061dcbeffcc77,https://github.com/daniele77/cli.git
f2bb3f87f6854d1fb5595868e0cca356,https://github.com/danomatika/ofxMidi.git
f85f6b7634d64f31a4c3826bd40f3ee2,https://github.com/darktable-org/darktable.git
c32591f4257649ca8f41c35428e2ea10,https://github.com/darwin-on-arm/xnu.git
b11cd13d01484201b48d56b755863dfd,https://github.com/DaveGamble/cJSON.git
eff75ee025f14c87b1fea963889928dd,https://github.com/davidgiven/ack.git
e4e2f56467a2449ea0068d7df1a2f05c,https://github.com/DavidXanatos/TaskExplorer.git
a3e31e0c22704a279deee7ca264f0d9f,https://github.com/davisking/dlib.git
bcc019f15c1a4cef90088d3304b32696,https://github.com/davisp/jiffy.git
86c8d0ba96d14a4bb2f49c8ddd8d6516,https://github.com/dbry/WavPack.git
f0895e250ab940619f7064d2d744c3ef,https://github.com/DCMTK/dcmtk.git
f732bef540c847f6908f99d2a3947b26,https://github.com/dcnieho/FreeGLUT.git
1bb5fdebb1c34804a003ef7e94d008a9,https://github.com/dcreager/libcork.git
9fa3e373db7d4c68b5094c13d3d70e9b,https://github.com/ddemidov/amgcl.git
293adcb38a86453eaa8af99dec53cade,https://github.com/ddemidov/vexcl.git
84eafcfe428b42f9ac04e718155c1f7c,https://github.com/debian-calibre/unrar-nonfree.git
3320d26955384b7ca1ac42f1102d7bc9,https://github.com/deweylab/RSEM.git
d63840d3169b4d46b04553e9a69b7d30,https://github.com/DFHack/dfhack.git
bd286afdc6af4d709268d564c341c721,https://github.com/dgibson/SLOF.git
f71d32c5c8a14e99a3db9791b462266a,https://github.com/dinhvh/libetpan.git
d1ad2724d2dd4e1995a8136baa7cb1df,https://github.com/discord/discord-rpc.git
81d7695ec8244c89bf07b2f0f95ad83f,https://github.com/distcc/distcc.git
b2395af01bf448a0b51266e58d7063a5,https://github.com/Distrotech/gzip.git
b95cf73452f94d05b5421b6cdb74dd2e,https://github.com/Distrotech/inetutils.git
484cbbeb4b874e0e9619415a21a72843,https://github.com/Distrotech/libcdio.git
4b2874d93dd74cb6ab307cadb9222e48,https://github.com/Distrotech/libtirpc.git
d3acf73af8df470d98ad091eb108ad18,https://github.com/djcb/mu.git
13e3da064b47403eb6d3eb4577c41342,https://github.com/dji-sdk/Onboard-SDK.git
c92e537966ed41a6ad6c26629cb10531,https://github.com/dmlc/dmlc-core.git
3be8564d0f654567abc05916e7ed83f1,https://github.com/dmlc/mshadow.git
f9850cd64c984d45b88899b6245afb3e,https://github.com/dmlc/nnvm.git
a0cba43c237a4acc8f868ab7f091db95,https://github.com/dmlc/rabit.git
5c03e82aa6464224811079cbd4186e7f,https://github.com/DOCGroup/ACE_TAO.git
