tpl_uuid,tpl_name
09e4a76282704429b7b6d944592ce779,ktorrent
0a00c1d3693345cfb4b6399325272370,bedops
0a06dcbdc02e4383970ecfa8b8246ce8,libpostal
0a07e69f1d39494b8023618cb02c28fb,yorick
0a0ca32dfb2c4c148c664567e246eeb2,gbdt
0a27b7d94bdb4ee88301c01fa2c33f37,divert
0a2d76fd0f8948329b334d47d0cf4157,ultimatealpr-sdk
0a39b1e509624684b1cfadf12ecd09f5,qxgedit
0a41bd87775e4090b6bf2b3e62c0eff4,luasocket
0a45283a0cd74c589ec127b7cbea957f,esp32-paxcounter
0a4a61cd369a4dd59fbf1c436bb081c1,arrayfire
0a511fb72cd94bac9229a06913aadf35,opus
0a56df85d463482d8714f39086994b6c,bubblewrap
0a5778ba364f4ae6bb3f2b2a05df573e,syclparallelstl
0a5f1e76dc244c38ab12396bad1fa773,punes
0a5f7a26e8644175a289857ba0659f17,graphviz
0a600673d4384479906171e946ed6ff4,cwiid
0a60eff38252484aadcf50ce29c0067c,tpcds-kit
0a614b30cfc64d15905855d903cc1754,emeraLD
0a66e6dda50b462ea4662301ba460e29,libffado
0a67c1e658cd430dad29874788ad234d,vulkan-renderer
0a6b21ffc29d443c9e62c93d51c8052d,pokerstove
0a73578a54254ad1951d3a371b596a09,miniflow
0a7d8635a16341499983ed57f5317562,towr
0a8678f938564746879bc56f46a1ee13,ibus-input-pad
0a871addfc6e44c5968fbf224d44aa3f,imwindow
0a87ac125e8f4c2095425d5f231fdd38,driftnet
0a884fddec0245c28aa9afc4e0476831,premake-core
0a8a2802dd734bfc9a335703d2d09c63,tilck
0a944d1b8c6f448390ef5f0ea70b7645,grunt
0a9c22df34fc45a187368af151118aa0,ekiga
0aa0b678a50e4be4846e5e9a1675c50c,zlmediakit
0aa731f74aeb4669b4c8043c0eca3d43,stoken
0aaa8d307fe94e5eb72143222da49031,midimonster
0aacec8403c9421ba35ce6eb6fe764a0,rubyenterpriseedition
0ab81c515fb247f3ac8330b2a0947e8f,luautf8
0abca0faa1c34b58bb3098a354ffdc51,alttab
0ac5181e49f24fb1833e8f53eca73f1b,webauth
0aca80b1343641739541ab93ea290e68,paxtest-freebsd
0adbe23ce68b4274ae5ca60b587b97ca,incubator-pagespeed-optipng
0ae31304a1a64341b9070dc90f5e3c08,saldl
0ae61b57dd194aa8851f25b23bd369ee,ocproxy
0ae7c40625944a91b467d22d06b99f43,fceux
0afd9a7d79c2465e8807f49ebab75f37,wine-wayland
0b0209a43f8645a1afcff08a0090c231,bpftrace
0b0ad3d81d4f4c5a90a9d772abfa94a1,qpanda-2
0b10b31611564735ac2ad6568c526f7c,instead
